creature_id,pack_id,pack_name,scientific_name,taxonomic_group,period,age_display,current_fossil_distribution,habitat_mode,diet,length_display,mass_display,longevity_estimate,longevity_confidence,graphical_confidence,graphical_confidence_score,description,reconstruction_caution,source_title_1,source_url_1,source_title_2,source_url_2,illustration_status
SIL-01,SIL,Silurien — Le rivage franchi,Cooksonia pertoni,Plante vasculaire primitive,Silurien,≈ 425 Ma,"Shropshire, Angleterre","Terrestre, vasières côtières",Photosynthèse,≈ 3 cm,Non estimable,Inconnue,Faible,Moyenne,3,"Tige nue, sans feuille ni racine, se divisant en deux et terminée par un sporange. L'une des premières plantes vasculaires connues.",Aucune feuille ni racine n'est attestée : ne pas la représenter comme une plante moderne miniature.,Wikipédia — Cooksonia,https://fr.wikipedia.org/wiki/Cooksonia,Natural History Museum — Early land plants,https://www.nhm.ac.uk/discover/first-plants-on-land.html,à générer
SIL-02,SIL,Silurien — Le rivage franchi,Pneumodesmus newmani,Myriapode diplopode,Silurien,≈ 425 Ma,"Stonehaven, Écosse",Terrestre,Détritivore,≈ 1 cm,Non estimable,Inconnue,Faible,Moyenne,3,Plus ancien animal respirant l'air connu : les stigmates trachéens sont visibles sur le fossile unique.,Connu par un seul spécimen fragmentaire ; la coloration et le détail des pattes sont extrapolés.,Wikipédia — Pneumodesmus,https://fr.wikipedia.org/wiki/Pneumodesmus,National Museums Scotland,https://www.nms.ac.uk/,à générer
SIL-03,SIL,Silurien — Le rivage franchi,Pterygotus anglicus,Euryptéride ptérygotidé,Silurien → Dévonien,≈ 419–412 Ma,Écosse et Angleterre,Marin et saumâtre côtier,Prédateur,"≈ 1,6 m",≈ 10–20 kg,Inconnue,Faible,Bonne,4,"Grand euryptéride à chélicères en pinces dentelées et grands yeux composés, prédateur des mers peu profondes.","La masse est une estimation volumétrique, non une mesure. La coloration est entièrement conjecturale.",Wikipédia — Pterygotus,https://fr.wikipedia.org/wiki/Pterygotus,Wikipédia — Euryptérides,https://fr.wikipedia.org/wiki/Eurypterida,à générer
SIL-04,SIL,Silurien — Le rivage franchi,Eurypterus remipes,Euryptéride euryptéridé,Silurien,≈ 432–418 Ma,"État de New York, États-Unis","Marin peu profond, lagunaire",Prédateur et charognard,≈ 20 cm,"≈ 0,3 kg",Inconnue,Faible,Bonne,4,"Euryptéride le mieux connu au monde, par des milliers de spécimens des lagunes de l'État de New York, dont il est le fossile officiel.","Les spécimens sont en grande majorité des mues, non des cadavres.",Wikipédia — Eurypterus,https://fr.wikipedia.org/wiki/Eurypterus,New York State Museum,https://www.nysm.nysed.gov/,à générer
SIL-05,SIL,Silurien — Le rivage franchi,Birkenia elegans,Agnathe anaspide,Silurien,≈ 428–423 Ma,"Lanarkshire, Écosse",Marin et estuarien,Filtreur ou détritivore,≈ 10 cm,Non estimable,Inconnue,Faible,Moyenne,3,"Petit poisson sans mâchoire, au corps couvert d'écailles allongées et à la nageoire caudale inversée.",L'absence de mâchoire est établie ; le régime alimentaire reste discuté.,Wikipédia — Birkenia,https://fr.wikipedia.org/wiki/Birkenia,Wikipédia — Anaspida,https://en.wikipedia.org/wiki/Anaspida,à générer
SIL-06,SIL,Silurien — Le rivage franchi,Baragwanathia longifolia,Lycophyte,Silurien → Dévonien,≈ 425–410 Ma,"Victoria, Australie",Terrestre humide,Photosynthèse,≈ 40 cm,Non estimable,Inconnue,Faible,Moyenne,3,"Lycophyte à tiges densément couvertes de petites feuilles en aiguille, d'une complexité inattendue pour son âge.",La datation silurienne des gisements australiens a été longuement débattue.,Wikipédia — Baragwanathia,https://fr.wikipedia.org/wiki/Baragwanathia,Wikipédia — Lycopodiopsida,https://fr.wikipedia.org/wiki/Lycopodiopsida,à générer
SUD-01,SUD,Amérique du Sud — Le continent séparé,Megatherium americanum,"Xénarthre, paresseux terrestre",Quaternaire,"≈ 0,4–0,011 Ma",Luján et pampa argentine,"Terrestre, plaines et forêts claires",Herbivore,≈ 6 m,≈ 4 t,≈ 30-40 ans,Faible,Bonne,4,"Paresseux terrestre géant, capable de se dresser sur ses pattes arrière en appui sur la queue. Espèce sur laquelle Cuvier fonde en 1796 la démonstration de l'extinction.","La posture bipède est déduite de la structure du bassin et de la queue, non observée.",Wikipédia — Megatherium,https://fr.wikipedia.org/wiki/Megatherium,Wikipédia — Georges Cuvier,https://fr.wikipedia.org/wiki/Georges_Cuvier,à générer
SUD-02,SUD,Amérique du Sud — Le continent séparé,Glyptodon clavipes,Xénarthre cingulé,Quaternaire,"≈ 0,8–0,011 Ma",Pampa argentine et Uruguay,"Terrestre, prairies",Herbivore brouteur,"≈ 3,3 m",≈ 1 t,Inconnue,Faible,Bonne,4,"Parent géant des tatous, protégé par une carapace d'ostéodermes soudés en une coupole rigide.",La carapace est fréquente dans les collections ; le crâne et les membres le sont beaucoup moins.,Wikipédia — Glyptodon,https://fr.wikipedia.org/wiki/Glyptodon,Wikipédia — Cingulata,https://fr.wikipedia.org/wiki/Cingulata,à générer
SUD-03,SUD,Amérique du Sud — Le continent séparé,Macrauchenia patachonica,Litopterne macrauchéniidé,Quaternaire,"≈ 0,7–0,011 Ma","Patagonie et pampa, Argentine","Terrestre, steppes",Herbivore,≈ 3 m,≈ 1 t,Inconnue,Faible,Faible,2,"Ongulé d'un ordre aujourd'hui éteint, aux narines placées haut sur le crâne. Récolté par Darwin en 1834, sa parenté n'a été établie qu'en 2015 par l'analyse du collagène fossile.",La trompe souvent représentée est une déduction contestée de la position des narines. Aucun tissu mou n'est conservé.,Wikipédia — Macrauchenia,https://fr.wikipedia.org/wiki/Macrauchenia,Nature (2015) — Ancient proteins resolve the ungulate radiation,https://www.nature.com/articles/nature14249,à générer
SUD-04,SUD,Amérique du Sud — Le continent séparé,Toxodon platensis,Notongulé toxodontidé,Néogène → Quaternaire,"≈ 2,6–0,011 Ma","Argentine, Uruguay et Brésil","Terrestre, milieux ouverts et humides",Herbivore,"≈ 2,7 m","≈ 1,4 t",Inconnue,Faible,Moyenne,3,"Grand herbivore massif d'un ordre éteint, décrit par Owen sur un crâne acheté par Darwin à Montevideo pour deux shillings.",La silhouette générale évoque un rhinocéros ou un hippopotame sans aucune parenté avec eux.,Wikipédia — Toxodon,https://fr.wikipedia.org/wiki/Toxodon,Wikipédia — Notoungulata,https://fr.wikipedia.org/wiki/Notoungulata,à générer
